"","logKo_a","logKblood_a","logKfat_a","logKmussle_a","logKo_w","logKoc_w","logBCF","logKa_w","logSwL","logKw_cellper","logKw_skinper","logKw_serum"
"66",5.94258711890503,3.10157091774365,5.73419824383229,3.6449392802204,4.336572624903,4.24746268202345,4.70734006993942,-1.05401224130225,-1.51601064094492,-2.30253177220277,-3.36734868447312,1.28344873999994
"67",5.8690619431244,3.08389132833389,5.71520037810184,3.71510966809984,4.94074741306088,3.97067546132054,4.96665282182299,-1.03006050472701,-1.79991415093917,-2.25320413143747,-3.18271129532885,1.34964488041426
"68",6.02546905259204,3.26228843917662,5.66273437924927,3.71566792232786,4.65871808242175,3.85476188752002,4.9342204963407,-1.52833860271984,-1.28835765562015,-2.36858788830231,-3.51707498370582,1.2228977771312
"69",5.95828716662095,3.08161390915094,5.78887075417274,3.7272845081362,4.4572582051422,4.26069085188004,4.75975351697334,-1.57560098635863,-1.67201829683412,-2.35578287362435,-3.46865435568098,1.28064696793643
"70",6.04991400865941,2.98203191497086,5.677443185775,3.73516518242897,4.58932332182478,4.04309247798389,4.86978397926923,-1.15506380543704,-2.02819188647515,-2.17099809148916,-3.32660018286509,1.30418367085837
"71",5.75917228187904,3.01797905760012,5.82334689628362,3.79343087379654,4.68044531743834,4.11530685168594,5.07739110285413,-1.19571669145919,-1.7507573580129,-2.28051899203956,-3.34666682749975,1.35410281281569
"72",5.85916923997128,3.21876572548097,5.86487227603619,3.69872600144256,4.889127357613,4.01531518884712,4.79444269559892,-1.08192678287881,-1.53836003451182,-2.309872096148,-3.24429511933556,1.20588358009765
"73",5.80187017236243,3.11711214110453,5.85089429097885,3.75245443570164,4.9175349159416,3.94606524232388,5.25912113030599,-1.15931875448222,-1.84215522794277,-2.28172974229666,-3.4244608939745,1.37177427892039
"74",5.89809122711243,3.06072101711195,5.78529708765356,3.74919068392453,4.36107864182698,3.82527727775397,4.95043805888059,-1.11391299006034,-1.87868293065365,-2.33575187286967,-3.34832437384501,1.27743875855045
"75",5.86418219580147,3.08024489615561,5.65708375028975,3.75617946814646,4.50262445904845,3.90963850745989,4.71860080357516,-1.11008507707759,-1.24396623080721,-2.29189203508449,-3.77002406044443,1.38328420584826
